repetition,host,arch,system,name,nthreads,nb_ops,latency
4,eliza,mte,CLHT,read,16,50000000,339.36
0,eliza,aarch64,CLHT,insert,16,50000000,3478.14
3,eliza,mte,CLHT,read,192,60000000,78770.48
4,eliza,mte,ART,YCSB-E,1,300000,41262.9274942
3,eliza,aarch64,ART,read,1,3000000,1531.29
1,eliza,mte,linklist,YCSB-A,1,25000,2545650.566288
0,eliza,mte,skiplist,scan,1,1000000,38738.93
3,eliza,mte,CLHT,insert,1,3000000,4182.04
1,eliza,aarch64,btree,YCSB-F,1,10000000,661.4913388626453
3,eliza,mte,queue,queue_bench,16,50000000,1044.988
3,eliza,mte,linklist,YCSB-E,1,25000,2438331.4863696
2,eliza,mte,ART,read,1,3000000,1613.24
4,eliza,aarch64,skiplist,insert,1,1000000,4716.09
4,eliza,mte,skiplist,YCSB-E,1,1000000,5604.24996781
4,eliza,mte,linklist,YCSB-F,1,10000,949783.4378561917
2,eliza,mte,btree,YCSB-E,1,10000000,842.103942415
3,eliza,mte,linklist,read,1,25000,2699783.18
4,eliza,aarch64,btree,YCSB-D,1,10000000,676.14017184
1,eliza,mte,CLHT,insert,1,3000000,4181.33
4,eliza,aarch64,skiplist,YCSB-C,1,3000000,3090.55
